learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.125,9,2.375,440,420,0.127589791
2,11,2.375,460,460,0.127614914
2.25,11,2.25,460,480,0.127642235
2.125,8,2.5,420,480,0.127690161
2.125,10,2.25,480,480,0.127693012
2,10,2.25,480,440,0.127701767
2,8,2.375,460,460,0.127737327
2,11,2.125,480,400,0.127749541
2.125,8,2.5,440,480,0.127788215
2.125,8,2.375,420,480,0.127788906
2,9,2.25,420,400,0.127829044
2.25,8,2.5,460,400,0.127876542
2.5,9,2.375,400,480,0.127921463
2.125,10,2.25,440,440,0.127973407
2.25,10,2.375,420,480,0.12800699
2.125,8,2.375,480,420,0.128024709
2.25,10,2.5,400,440,0.128042356
2.5,11,2.25,420,480,0.128080689
2.25,9,2.375,440,480,0.128081438
2.375,9,2.375,400,400,0.128134993
2.25,11,2.375,480,460,0.128163927
2.125,9,2.375,400,400,0.128175957
2.375,10,2.25,480,480,0.12821257
2.375,9,2.25,460,400,0.128232915
2.5,9,2.5,420,440,0.128245369
2.25,10,2.25,100,260,0.128245381
2.125,8,2.5,460,400,0.128252106
2,8,2.375,440,460,0.128260951
2.5,9,2.25,420,460,0.128267328
2.25,10,2.25,480,480,0.128290692
2.25,9,2.375,440,400,0.128295667
2.25,10,2.25,400,400,0.128324
2.125,9,2.375,460,400,0.128348232
2.125,10,2.25,480,440,0.128386295
2,11,2.25,440,420,0.128400532
2,10,2.5,260,260,0.128447619
2.25,11,2.25,480,400,0.128481312
2.25,11,2.125,480,400,0.128491772
2.25,8,2.5,340,100,0.12855756
2.375,10,2.25,420,420,0.128576605
2.125,9,2.375,440,440,0.128593453
2.375,9,2.5,460,420,0.12865424
2,10,2.375,480,420,0.128709423
2.125,11,2.25,460,480,0.128739087
2.5,11,2.125,440,400,0.128804154
2.5,9,2.375,480,400,0.128966019
2.125,9,2.375,440,480,0.129056616
2.5,9,2.25,480,480,0.129099562
2.125,9,2.25,420,460,0.129105569
2,10,2.25,440,440,0.129166386
2.25,9,2.25,420,460,0.129251616
2.375,11,2.375,480,460,0.129313529
2,9,2.375,440,420,0.129323805
2.25,12,2.25,340,340,0.129387695
2.25,10,2.5,480,420,0.129397559
2.125,9,2.375,400,480,0.129418607
2,10,2.5,480,400,0.129451051
2.25,10,2.25,460,400,0.129479396
2.125,10,2.5,400,440,0.12952055
2.375,8,2.375,460,400,0.129525345
2.125,9,2.25,460,480,0.129534256
2.125,9,2.25,420,400,0.129562836
2,9,2.25,440,480,0.129622542
2.125,9,2.375,460,420,0.129686633
2.5,8,2.5,400,400,0.129693689
2.5,10,2.5,480,420,0.129798316
2.125,10,2.5,480,420,0.129804729
1.75,8,2.5,340,100,0.129816449
2.375,11,2.25,480,400,0.129844177
2.25,8,2.5,400,400,0.129857728
2.5,8,2.25,260,180,0.129906811
2.375,9,2.375,440,480,0.129947655
2.375,9,2.25,420,400,0.12999513
2.375,10,2.375,420,480,0.130025155
2.125,9,2.5,400,480,0.130026204
2.125,9,2.25,480,480,0.130031098
2.125,10,2.25,420,460,0.130101654
2.5,8,2.5,260,420,0.130147359
2.5,10,2.5,460,460,0.130162335
2,8,2.375,480,420,0.130163564
2.375,8,2.375,440,440,0.130163623
2,9,2.25,480,480,0.130181908
2.375,9,2.5,440,400,0.1301968
2.375,9,2.375,400,480,0.130274176
2.5,8,2.375,420,480,0.130274837
2.5,9,2.25,440,480,0.130323519
2.25,9,2.375,480,420,0.130346049
2.375,9,2.25,440,480,0.130348723
2,8,2.5,460,400,0.130351667
2.125,9,2.25,440,480,0.130378995
2,10,2.25,420,420,0.130422375
2.375,10,2.25,460,400,0.130429531
2.375,9,2.25,480,480,0.13046504
2.25,9,2.25,440,480,0.130488993
2.375,10,2.5,480,420,0.130506013
2.125,8,2.5,420,420,0.130513228
2.375,11,2.25,480,440,0.130517809
2.25,9,2.5,460,440,0.130552632
2.125,8,2.375,440,440,0.130555763
2.125,9,2.375,480,420,0.130568036
2.375,10,2.5,460,460,0.130568265
2.5,8,2.5,440,440,0.130607194
2,10,2.5,400,440,0.130612562
2,11,2.25,460,480,0.13063175
2.25,9,2.25,420,400,0.13064948
2.5,9,2.5,460,420,0.130726283
2.5,8,2.5,340,420,0.130800256
2.25,11,2.25,480,440,0.130809569
2.25,10,2.375,440,480,0.130821536
2.25,9,2.25,480,480,0.130908207
2,9,2.375,460,420,0.13099063
2,9,2.25,400,400,0.131042383
2,8,2.375,440,440,0.131045378
2.375,8,2.5,460,420,0.131086727
2.125,8,2.25,440,480,0.131094237
2.375,8,2.375,460,480,0.131122289
2,9,2.375,440,400,0.131137946
2.25,10,2.25,480,440,0.13115762
2,8,2.5,420,260,0.13115974
2.5,8,2.375,460,400,0.131162129
2,8,2.25,440,480,0.131182112
2.375,8,2.5,440,460,0.131211357
2,8,2.5,480,480,0.131326544
2.5,9,2.375,480,420,0.131344173
2.5,9,2.375,440,480,0.131364027
2.125,9,2.375,440,400,0.131432414
2,8,2.5,420,480,0.131502971
2.5,11,2.375,480,460,0.131524726
