Type,Subject #,criterion reached?,Completed Trials,Mean Accuracy (Ext),Block 1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,
4,134,0,64,0.62500,0.63,0.63,0.25,0.63,0.75,0.63,0.63,0.88,,,,,,,,,,,,,,,,
4,134,1,48,0.81250,0.63,0.50,0.75,0.63,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,135,0,64,0.46875,0.25,0.63,0.25,0.50,0.25,0.88,0.63,0.38,,,,,,,,,,,,,,,,
4,136,0,64,0.79688,0.63,0.75,0.75,0.75,0.75,0.88,0.88,1.00,,,,,,,,,,,,,,,,
4,136,0,64,0.70313,0.63,0.63,0.75,0.63,0.88,0.88,0.63,0.63,,,,,,,,,,,,,,,,
4,137,0,64,0.54688,0.63,0.50,0.50,0.63,0.75,0.50,0.50,0.38,,,,,,,,,,,,,,,,
4,137,0,64,0.78125,0.50,0.88,0.75,0.88,0.75,0.88,0.88,0.75,,,,,,,,,,,,,,,,
4,138,0,64,0.85938,0.38,0.88,1.00,0.88,1.00,0.88,0.88,1.00,,,,,,,,,,,,,,,,
4,140,0,64,0.76563,0.63,0.75,0.75,0.63,0.75,0.88,0.75,1.00,,,,,,,,,,,,,,,,
4,140,1,64,0.75000,0.13,0.50,0.75,0.88,0.88,0.88,1.00,1.00,,,,,,,,,,,,,,,,
4,141,0,64,0.64063,0.75,0.38,0.88,0.63,0.75,0.63,0.63,0.50,,,,,,,,,,,,,,,,
4,141,0,64,0.56250,0.25,0.75,0.50,0.63,0.75,0.50,0.50,0.63,,,,,,,,,,,,,,,,
4,142,1,64,0.65625,0.38,0.38,0.63,0.63,0.75,0.75,0.75,1.00,,,,,,,,,,,,,,,,
4,142,0,64,0.31250,0.38,0.00,0.25,0.13,0.38,0.38,0.38,0.63,,,,,,,,,,,,,,,,
4,143,0,64,0.57813,0.50,0.50,0.38,0.75,0.63,0.63,0.38,0.88,,,,,,,,,,,,,,,,
4,143,0,64,0.56250,0.38,0.75,0.38,0.38,0.50,0.88,0.50,0.75,,,,,,,,,,,,,,,,
4,143,0,64,0.75000,0.50,0.75,0.75,0.63,0.88,0.88,0.75,0.88,,,,,,,,,,,,,,,,
4,145,0,64,0.76563,0.63,0.88,0.88,0.63,0.75,0.75,0.88,0.75,,,,,,,,,,,,,,,,
4,145,0,64,0.82813,0.63,0.75,0.88,0.88,0.88,0.88,0.88,0.88,,,,,,,,,,,,,,,,
4,145,1,40,0.81250,0.50,0.25,0.75,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,146,0,64,0.65625,0.75,0.75,0.63,0.63,0.63,0.50,0.63,0.75,,,,,,,,,,,,,,,,
4,146,0,64,0.70313,0.63,0.63,0.63,0.88,0.50,0.50,0.88,1.00,,,,,,,,,,,,,,,,
4,147,0,64,0.48438,0.50,0.63,0.38,0.50,0.25,0.50,0.63,0.50,,,,,,,,,,,,,,,,
4,147,0,64,0.75000,0.38,0.63,0.88,0.75,0.75,0.75,0.88,1.00,,,,,,,,,,,,,,,,
4,147,0,64,0.76563,0.50,0.88,0.63,0.88,0.75,0.75,0.75,1.00,,,,,,,,,,,,,,,,
4,148,0,64,0.70313,0.50,0.75,0.63,0.75,0.50,0.63,0.88,1.00,,,,,,,,,,,,,,,,
4,149,0,64,0.68750,0.63,0.63,0.63,0.75,0.63,0.75,0.75,0.75,,,,,,,,,,,,,,,,
4,150,0,64,0.71875,0.63,0.63,0.75,0.63,0.75,0.88,0.75,0.75,,,,,,,,,,,,,,,,
4,150,0,64,0.51563,0.38,0.63,0.38,0.50,0.75,0.75,0.50,0.25,,,,,,,,,,,,,,,,
4,151,0,64,0.70313,0.50,0.75,0.50,0.88,0.88,0.75,0.50,0.88,,,,,,,,,,,,,,,,
4,151,0,64,0.62500,0.50,0.75,0.50,0.50,0.63,0.50,0.88,0.75,,,,,,,,,,,,,,,,
4,152,0,64,0.64063,0.63,0.75,0.63,0.50,0.75,0.50,0.63,0.75,,,,,,,,,,,,,,,,
4,152,0,64,0.82813,0.50,0.75,0.75,1.00,0.88,0.88,1.00,0.88,,,,,,,,,,,,,,,,
4,153,1,32,0.93750,0.63,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,153,0,64,0.67188,0.88,0.75,0.75,0.75,0.75,0.38,0.38,0.75,,,,,,,,,,,,,,,,
4,153,0,64,0.75000,0.50,1.00,0.75,0.88,0.75,0.88,0.75,0.50,,,,,,,,,,,,,,,,
4,154,0,64,0.54688,0.00,0.63,0.50,0.75,0.75,0.63,0.63,0.50,,,,,,,,,,,,,,,,
4,154,0,64,0.73438,0.50,0.63,0.75,0.50,0.75,0.88,0.88,1.00,,,,,,,,,,,,,,,,
4,155,0,64,0.59375,0.75,0.75,0.63,0.63,0.50,0.50,0.75,0.25,,,,,,,,,,,,,,,,
4,155,0,64,0.68750,0.50,0.50,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,
4,155,1,48,0.87500,0.75,0.75,0.63,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,156,1,64,0.87500,0.50,1.00,0.75,0.88,1.00,0.88,1.00,1.00,,,,,,,,,,,,,,,,
4,156,1,40,0.87500,0.50,0.75,0.75,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,157,1,56,0.79688,0.50,0.50,0.75,0.75,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,157,0,64,0.54688,0.38,0.50,0.38,0.63,0.63,0.63,0.50,0.75,,,,,,,,,,,,,,,,
4,157,1,32,0.93750,0.63,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,158,0,64,0.60938,0.38,0.63,0.88,0.88,0.13,0.75,0.63,0.63,,,,,,,,,,,,,,,,
