error,learn_rate,num_hidden_nodes,weight_range,beta,c
1.597553066,2.053408239,10,1.890650821,472,465
1.597832734,2.601444414,11,1.8484411,480,474
1.599014885,2.820150231,12,1.741941618,493,482
1.600024647,2.691961914,14,2.296568224,489,496
1.602590876,2.297880274,12,1.818302943,457,499
1.60343927,2.666384837,11,1.699746732,457,489
1.614437249,2.915734769,12,2.264284645,472,457
1.616745566,2.042465881,10,2.308322737,463,469
1.622981638,2.494519183,10,1.632901934,457,489
1.627995097,2.750294492,11,1.726700192,478,494
1.628872038,2.194466156,12,1.859881281,476,473
1.63619451,2.159665758,13,2.374827498,470,470
1.639964536,2.403496441,12,1.686323004,467,491
1.640767866,2.092990825,15,2.336290402,483,481
1.647156509,2.636350429,14,1.689801394,494,488
1.656218399,2.178992176,13,1.680086645,463,477
1.658066403,2.675636775,10,2.24824936,474,494
1.659552466,2.539325229,12,1.564971141,469,471
1.660451797,2.934782387,14,1.646552888,491,483
1.662215721,2.722558838,10,1.731799055,460,483
1.669005847,2.195321814,15,2.1664634,499,458
1.670325114,2.09522318,14,2.194300958,498,494
1.672605675,2.795292195,12,2.249078887,486,483
1.673302129,2.80821103,11,1.555777954,456,492
1.678801667,2.46628668,13,1.752105601,458,496
1.682410734,2.163211751,10,1.73847806,466,465
1.68509894,2.141496564,13,1.533534857,473,489
1.686661418,2.253713595,11,2.398598507,483,454
1.687202479,2.743091115,11,1.701025459,486,474
1.687222569,2.269181331,10,1.707587065,461,474
1.68843289,2.37416931,14,2.175755105,485,460
1.695117944,2.308997293,12,2.454472431,490,468
1.697053158,2.212600594,11,1.979585396,478,470
1.698301042,2.076062196,11,1.597206746,487,471
1.69978344,2.823028758,12,2.218472297,487,494
1.700409262,2.230037449,12,1.697927486,493,482
1.701035,2.726040414,10,1.798127325,497,480
1.7018716,2.346891869,12,2.006484154,486,458
1.702386295,2.620203878,14,1.648816779,490,468
1.704894517,2.17162053,11,1.654616447,494,474
1.706995106,2.378867508,10,2.031947964,460,458
1.708316258,2.815459132,14,1.629889947,487,500
1.709444498,2.440301902,11,1.553885962,495,452
1.710580425,2.841965227,12,1.724234288,466,451
1.710754109,2.407253687,12,1.522786371,465,467
1.711496253,2.000610514,10,1.960571416,491,485
1.711826025,2.714286545,10,2.127609464,460,468
1.716911497,2.139918732,14,1.894470094,489,494
1.717062825,2.322947588,10,2.316624719,452,452
1.718400763,2.411262069,11,2.319154191,474,470
1.720053979,2.214246047,14,2.145439991,475,490
1.722348069,2.30701896,10,1.773822672,479,498
1.722380821,2.450975642,13,1.706723026,464,486
1.725131519,2.86195519,12,1.972472198,473,457
1.734580289,2.335977913,13,2.233497879,454,469
1.735960392,2.649019539,12,1.859304856,450,469
1.736065119,2.845893556,10,1.706162503,463,499
1.739130027,2.862852644,14,1.780024041,482,458
1.747413214,2.580548042,12,1.706856877,492,491
1.747903563,2.368106005,13,2.024368136,459,485
1.749157226,2.151221177,15,1.915607895,461,487
1.755276594,2.447251351,14,1.566660245,500,475
1.757462253,2.006062986,10,2.330996959,485,469
1.757571978,2.567290646,11,1.687860017,489,453
1.757992793,2.463020365,13,1.758109313,465,481
1.759332249,2.442926397,12,1.648376463,451,471
1.760258613,2.236416566,12,1.972088008,479,464
1.761696944,2.723495431,13,2.20012468,460,500
