,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
20,4.558363,"[0.5804863816734692, 5, 1.6256313079055378, 3.911766911712373]"
984,4.5935505,"[0.38983531064489196, 3, 4.9645181649477035, 7.368628727758954]"
48,4.60114425,"[0.8062618524805816, 3, 1.2934897675652168, 8.01471320758871]"
888,4.6053005,"[0.859750777228138, 5, 0.8869573058268125, 38.14682506144704]"
128,4.6359255,"[0.9645881138106895, 2, 1.5044915036532607, 23.12299763492073]"
734,4.64070675,"[0.2806193055326882, 4, 0.8630077472346454, 23.817049123782585]"
327,4.6461755,"[0.9468374803410332, 3, 3.5586164364697037, 25.583946158531873]"
626,4.65739425,"[0.3306768802405617, 2, 1.9871174033595675, 49.78966150396143]"
639,4.66376925,"[0.7067081992148753, 4, 1.3364527187508832, 5.340530667788225]"
513,4.665863,"[0.5269055233104205, 5, 2.119336621532284, 11.382208909893668]"
424,4.6766755,"[0.8456846118387541, 5, 0.9007510187351484, 45.72472379255514]"
139,4.71558175,"[0.6075881877886453, 6, 0.9021264676521734, 35.1467356554816]"
749,4.746238,"[0.9730810499813198, 3, 1.431048091118871, 42.258237091151216]"
43,4.74701925,"[0.9262233504400587, 5, 3.563721298671747, 1.6542738237111614]"
370,4.75426925,"[0.9190689131897802, 2, 2.3178009382902163, 39.23867317021096]"
355,4.76745675,"[0.9945626971702122, 3, 0.7084548069137806, 25.76905848374978]"
948,4.79470675,"[0.5644800352786677, 2, 1.8719212114446213, 13.019043803364957]"
277,4.80458175,"[0.9607620880330658, 5, 4.51320030213765, 33.56015624861209]"
262,4.80589425,"[0.9384016286700746, 4, 0.8659281889888952, 32.78776667881684]"
517,4.8081755,"[0.6790989181571054, 4, 3.3490453776244715, 4.3180820373189555]"
718,4.8189255,"[0.31855826747917365, 5, 1.2609402786874975, 22.98525555045574]"
87,4.825988,"[0.6112625336718241, 6, 0.80073332878426, 31.77773768758746]"
953,4.82814425,"[0.35823528980977737, 5, 2.0776435491499528, 2.2341969577780123]"
60,4.83001925,"[0.6516651698637866, 3, 1.022421902049136, 22.414233392160472]"
878,4.83345675,"[0.6733213366065904, 5, 1.9870220032857095, 43.56050635173088]"
476,4.844238,"[0.25260346481947865, 2, 1.9227145972489095, 35.21308038211484]"
393,4.850113,"[0.9577082946780371, 3, 1.5225030746520685, 3.855865565550893]"
136,4.8530505,"[0.26348752595298314, 5, 1.716254949917372, 19.428284494392063]"
375,4.87089425,"[0.8843687925378754, 5, 0.6814717494795686, 17.315137106770585]"
649,4.889988,"[0.9565679107919461, 5, 1.129926173088924, 1.5517439864251474]"
877,4.89126925,"[0.8442611737460393, 5, 4.8612987213229255, 20.67057296829924]"
973,4.8956755,"[0.8156650044162056, 6, 1.5815988429352017, 18.187102585651267]"
403,4.89814425,"[0.9420979019956656, 5, 3.3046453331418406, 7.909465823077845]"
832,4.90170675,"[0.6073259867434064, 6, 3.9342401118790455, 5.716350722063209]"
448,4.9023005,"[0.9963946164923214, 3, 2.879903061730294, 0.21212219263505033]"
814,4.90401925,"[0.7355873043994369, 6, 2.4513136565369806, 28.241959656402067]"
574,4.91576925,"[0.8282938985252172, 4, 4.252591094345778, 3.8350116620034744]"
788,4.922488,"[0.7495026631121909, 3, 1.858178532921042, 27.233732328336448]"
429,4.9360505,"[0.6109530869183555, 2, 3.3700678094419763, 39.16786769744958]"
180,4.9565505,"[0.3718009920267064, 4, 0.9556526288867357, 41.95141259045915]"
585,4.9733005,"[0.35309791552108616, 4, 2.5424160051164053, 22.229115470338506]"
965,4.98433175,"[0.40432019947298237, 6, 3.035415296867656, 46.07969113645576]"
614,4.988363,"[0.600500455467347, 2, 2.7738534825843564, 27.46775244981512]"
22,4.9911755,"[0.8040658160315878, 5, 4.235028709058118, 33.868589204307284]"
578,5.0055505,"[0.960944915580568, 3, 2.363579007562039, 18.227052667764422]"
777,5.0120505,"[0.4833620372156022, 4, 1.3987497818148131, 6.588106153763908]"
577,5.019613,"[0.7038813188299138, 3, 2.246649294618354, 4.942700377533223]"
30,5.0560505,"[0.8068525592803608, 5, 1.1956939785131855, 49.73319981767775]"
9,5.11895675,"[0.7950694670299774, 5, 2.0546526773520863, 14.02248165065488]"
637,5.12420675,"[0.6932039140429698, 5, 0.8006269040354188, 32.05619281532292]"
417,5.13220675,"[0.4440947517915487, 4, 1.7055370872881763, 26.521632849821795]"
405,5.13620675,"[0.403404138747614, 3, 2.864482045057785, 47.5243933913075]"
556,5.15226925,"[0.771307490014532, 3, 2.029733215282777, 20.01502871259341]"
189,5.16001925,"[0.4861667600584283, 6, 3.9313757201447554, 18.236208510102006]"
800,5.170363,"[0.5555353723108342, 5, 4.480312835821446, 30.02668381377056]"
960,5.1814255,"[0.7427015687365772, 5, 2.957312240808827, 3.462624632740697]"
185,5.18301925,"[0.6088933532723869, 6, 1.931296467230593, 15.98607054816891]"
447,5.18345675,"[0.10494057192760453, 4, 1.3189413368647598, 37.537764211082866]"
28,5.1948005,"[0.47218936293117386, 3, 2.2703306338526827, 21.36429843892377]"
735,5.204988,"[0.4618436221416375, 5, 1.8481394842315373, 5.31667835116907]"
844,5.21958175,"[0.9349452615641655, 4, 1.2091871752183903, 29.21006249419136]"
79,5.229738,"[0.8124800691366523, 4, 2.197101856962271, 37.41699579740199]"
906,5.2394255,"[0.784305569277422, 6, 0.9395471174530812, 16.53543371183531]"
266,5.24476925,"[0.9750946171509554, 2, 2.97577931133444, 41.56604947815366]"
607,5.251613,"[0.44561631412437835, 3, 0.9670717278689096, 29.653482919925096]"
117,5.254613,"[0.51346320254217, 3, 2.8192127601844947, 21.59844136429856]"
710,5.254613,"[0.6628457066861232, 3, 3.249514880273022, 6.382138173663339]"
719,5.2591755,"[0.787730496755775, 4, 1.4880722539141158, 29.74001820165334]"
913,5.2620505,"[0.5252819427820332, 5, 0.8253188619854925, 34.02257257361714]"
842,5.2623005,"[0.9720234085031856, 3, 1.2200431607802131, 22.60599306672312]"
203,5.265738,"[0.34704160423769215, 6, 2.989198924206097, 46.7390888841322]"
866,5.27589425,"[0.1891874629697017, 4, 1.8387969641379387, 27.959364719598096]"
862,5.27870675,"[0.4801204610884072, 2, 2.6427000861988006, 48.11695448151853]"
808,5.28833175,"[0.9973723058278672, 5, 3.657179405938078, 41.14429082085111]"
919,5.2895505,"[0.803247636413759, 2, 3.3545703466093597, 45.18206203751989]"
106,5.302863,"[0.7020853179822166, 3, 1.9922922868223698, 29.102295308486685]"
380,5.3206755,"[0.750147649475506, 3, 0.6907980026332587, 44.9034536405064]"
951,5.324363,"[0.5910291394994935, 6, 1.9896139512231281, 29.3216163729449]"
886,5.33964425,"[0.9396074855365343, 5, 2.5727611711380516, 11.35364393369485]"
708,5.34533175,"[0.6970431183962078, 4, 0.8252380341091783, 43.14355692754208]"
252,5.3543005,"[0.14344372198200303, 5, 2.2749676602088797, 30.687884208690896]"
657,5.35989425,"[0.2709757231684138, 4, 2.0091946821469238, 1.9578079410153109]"
15,5.36376925,"[0.46703804754734585, 3, 3.835804206408061, 16.58321356757753]"
298,5.3893005,"[0.4339149131889389, 5, 1.5942103665333143, 30.109530341475043]"
356,5.3931755,"[0.9036736350755177, 6, 4.274931462004922, 47.53437651408415]"
396,5.39914425,"[0.45227447089423956, 2, 0.8846744823197592, 20.72525875105305]"
751,5.4076755,"[0.680238353931916, 5, 3.248619328748142, 20.699473162580052]"
175,5.4251755,"[0.1298582558752333, 5, 4.50866703920688, 8.798661981004525]"
204,5.42676925,"[0.969144808295336, 4, 1.6173548641860993, 47.922129176746346]"
364,5.43426925,"[0.5486119221852321, 4, 1.9759099564801712, 43.683753689992436]"
525,5.4390505,"[0.32141761365363936, 2, 2.071661907672627, 6.682588070688412]"
