Unnamed: 0,error,learn_rate,num_hidden_nodes,weight_range,beta,c
678,3.004189658,1.711526637,11,3.021109807,147,402
780,3.004481469,1.43117855,12,1.494569131,128,74
281,3.010446339,1.222459198,24,1.48658512,238,475
138,3.01176839,2.831150394,12,2.383892449,488,44
722,3.01419537,4.341057452,13,0.541601147,487,418
824,3.01597789,1.497158215,9,3.041673651,297,77
364,3.016102831,2.6662974,13,2.457024516,386,107
860,3.017455373,0.998691937,16,1.544549141,162,254
665,3.023680617,1.709791533,12,2.009692774,78,239
922,3.026695079,1.139975799,20,1.323119447,32,188
687,3.029030617,1.189335842,11,2.431193407,324,211
103,3.037421213,1.613064134,14,3.188807719,357,215
117,3.0460235,3.781376562,6,2.678677828,79,306
955,3.0475759,1.729087077,6,2.176737301,372,297
876,3.052991444,1.624392689,20,1.172786937,227,345
199,3.053392996,1.592257591,19,0.848694884,221,193
479,3.065052933,4.182578618,7,1.955081965,306,373
552,3.069930194,2.594456583,5,3.014011522,160,86
467,3.080424745,2.32551363,18,1.951260565,122,91
593,3.083603525,4.807347268,4,2.257042783,141,80
950,3.104809313,1.754259739,24,1.124524362,91,431
544,3.105743656,1.510353408,10,1.21751354,148,137
49,3.121148621,3.378294788,3,4.977791979,434,45
915,3.121181879,3.253186213,15,1.801278879,479,286
545,3.123067518,3.868948486,5,4.817992427,413,490
655,3.132531661,3.043762575,6,0.765191046,112,198
968,3.133716839,4.313071626,11,1.497436313,321,135
629,3.141735768,2.365460873,22,1.336378784,184,467
123,3.146524571,3.233507567,4,1.664981442,272,364
777,3.148547294,2.584614369,25,0.684461333,64,218
580,3.161414729,2.430460272,10,0.6445277,139,333
522,3.162360599,3.906149128,2,4.393263907,343,145
162,3.16603934,2.275675516,7,2.81340545,183,110
800,3.1698989,1.136387519,13,2.244295477,369,299
554,3.170507229,3.16980684,9,2.184367977,234,37
66,3.173773705,1.851050044,5,1.519548677,465,352
409,3.17524909,4.776311224,10,3.680859507,413,95
15,3.185120586,4.808434129,13,1.483804097,51,272
290,3.189712532,1.353752735,16,0.998841093,60,201
521,3.194822687,2.904574257,3,2.212829509,455,354
120,3.201163286,4.171173261,10,0.620634127,429,140
928,3.201987628,3.447492021,10,4.441350506,3,470
809,3.205572434,2.39289758,17,0.63539225,7,137
101,3.207949612,1.040115706,15,2.396171336,418,380
410,3.227726882,1.082632034,12,1.898607575,148,301
306,3.228091109,1.675093931,11,1.717232611,479,421
408,3.235646853,2.386603821,15,2.850348657,146,304
591,3.250058419,2.663856239,14,2.820030329,196,244
909,3.259067001,1.313177633,9,2.472150906,53,266
646,3.279350639,2.732308303,17,1.505161669,448,374
679,3.294119685,2.763849277,23,0.76651516,304,264
203,3.296133473,2.533954926,18,1.814655472,38,98
121,3.297461169,2.951820472,18,3.908277443,43,64
969,3.297522826,2.236205666,5,3.014001392,150,184
457,3.298289408,1.555723186,23,0.802020186,425,490
548,3.326742882,4.02890897,17,0.931210819,76,473
857,3.326972576,2.623191314,19,1.360465678,387,46
51,3.327023474,2.036409628,15,3.196717986,271,232
435,3.327538984,2.008548304,18,3.019102598,392,488
712,3.344210176,4.716264495,2,1.066813614,146,455
501,3.356960725,3.895193782,5,0.743591963,9,110
586,3.379221465,3.412776133,12,2.094044051,166,48
136,3.402333815,3.935800067,8,4.005053643,219,233
188,3.405018378,0.946034354,5,2.642726946,414,94
206,3.406034595,3.666399169,12,3.494005973,284,496
752,3.423849175,2.084179182,10,1.180422451,395,275
976,3.433973008,1.927414656,3,1.978474191,409,81
767,3.447146122,3.800076163,12,2.660134627,9,92
458,3.474230802,3.416128937,11,0.509520384,440,109
213,3.545642729,4.619933732,19,0.755557683,145,452
581,3.546213444,1.43919398,5,3.700992125,332,109
57,3.555631009,3.566985704,2,1.941677051,9,59
772,3.566455952,1.791970736,18,3.311769372,450,353
446,3.574218393,2.706970472,6,0.764974856,371,320
622,3.593698229,4.447713201,6,0.571598042,468,299
336,3.613979832,3.051089457,7,3.686676589,93,152
929,3.649923836,2.354360483,20,1.093518378,436,80
55,3.652506229,3.387139066,11,2.836919561,62,489
738,3.654013864,1.167521028,13,0.928570651,299,174
140,3.655644952,2.895910486,16,2.227931902,137,316
95,3.658374054,2.573712007,6,1.1440806,350,127
624,3.668887959,4.659292592,10,2.875742084,434,286
783,3.671100625,1.958029711,19,1.817979375,357,106
516,3.676066405,3.898736062,3,3.889322945,197,44
731,3.679602449,2.285402134,4,2.074024887,147,145
623,3.69537934,2.013273845,22,0.587428975,353,161
569,3.696249393,2.370058575,24,2.02610376,442,355
477,3.697806856,3.131050137,21,0.618531523,318,233
17,3.701133367,3.992048468,8,4.502376003,138,62
773,3.716355204,3.634811196,8,1.439354641,360,26
228,3.720784482,0.916528739,13,2.165368913,32,309
698,3.755903747,4.902090414,20,0.763152529,229,477
813,3.76330366,3.859924748,18,1.311611181,107,432
995,3.79743802,1.389314205,5,1.151451752,479,107
573,3.800799919,3.886403624,2,0.982067457,39,454
115,3.820619596,1.306428361,19,1.069350765,91,104
914,3.825235698,2.220970922,17,1.578671625,210,27
147,3.828158678,2.016643636,10,0.696455659,313,88
518,3.836814903,2.27444476,21,1.928238036,353,213
673,3.836960513,4.432590456,13,2.887847913,294,410
525,3.842665216,4.456583695,15,0.757353978,455,343
378,3.845409521,1.861055254,3,1.784704032,161,22
856,3.84706886,1.641163435,13,0.814235405,307,465
124,3.848184109,2.586681876,3,1.432902592,341,422
343,3.853958768,3.171592343,6,3.679698289,422,230
703,3.873457689,3.302369109,8,4.780285086,223,333
990,3.876385241,2.911157096,3,1.852690732,452,161
660,3.878120866,3.232372637,18,1.636779787,329,50
317,3.886442371,2.535846933,2,4.014100568,455,183
862,3.90817372,3.456270833,18,0.649630699,144,53
294,3.910271863,4.043969174,15,2.065940284,430,284
620,3.910686094,2.029358255,7,0.886403779,282,259
300,3.925366841,3.197216986,15,0.536668647,44,109
533,3.927128801,2.386978828,11,3.140809235,328,212
321,3.9293978,4.350456381,10,2.686330217,474,158
796,3.930275331,4.043876239,12,4.845268215,4,320
260,3.931519139,4.114232988,12,2.391733222,260,37
920,3.933333271,4.158916111,2,1.132044707,206,226
235,3.939566227,1.836066137,21,2.690595348,311,466
808,3.967120031,0.8135664,8,1.664573787,67,76
322,3.971514355,2.878638483,3,3.774036828,401,192
401,3.983547616,3.184056754,4,3.878201528,176,454
715,3.987125032,3.525159643,3,0.732663282,102,195
353,3.988618614,4.75765189,6,2.990339575,463,331
951,3.992843123,0.787674486,16,4.661346692,328,294
789,4.007698165,0.25719242,2,1.938525597,101,73
299,4.016748589,1.905188411,19,2.536071154,291,222
971,4.017988281,2.883379749,25,0.583034033,305,480
535,4.019234365,2.743056186,5,4.095061354,455,358
333,4.032274662,1.722705707,17,1.549074995,427,38
450,4.051257817,3.807060415,3,2.984202761,260,159
208,4.089444783,1.456212527,3,1.487757223,360,264
627,4.099624584,2.332296746,19,3.215233853,87,250
172,4.107081985,0.879472771,10,2.153701306,105,141
