,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
62,1.389423601,"[2.888245931424062, 11, 1.5572124040414161, 452, 495]"
256,1.394742732,"[2.409977297346808, 12, 1.5030069658246814, 455, 489]"
130,1.395556095,"[2.5430493565308825, 12, 2.275182342709106, 479, 474]"
220,1.398118362,"[2.4179918927926494, 11, 1.6515095522205088, 468, 473]"
620,1.398986069,"[2.253009416336473, 12, 2.1803908199586597, 490, 472]"
138,1.399132381,"[2.6364909942769374, 15, 1.715718939408171, 491, 461]"
173,1.401083107,"[2.8652812862209767, 11, 2.2036047568227177, 488, 474]"
610,1.407825815,"[2.4458444665961494, 14, 1.8936476301260157, 465, 461]"
340,1.408830224,"[2.1661839383862893, 11, 1.8327699026626751, 459, 472]"
472,1.411955315,"[2.858074723379926, 12, 1.6860209719695314, 481, 477]"
548,1.417266909,"[2.8294448158384595, 10, 2.460587172959161, 456, 464]"
13,1.427970018,"[2.028368642146854, 13, 2.1275132170788313, 457, 457]"
536,1.428809996,"[2.125272810365439, 13, 1.8995504277537378, 461, 465]"
5,1.430674073,"[2.234139659944328, 15, 1.8161576774192985, 473, 486]"
94,1.435957666,"[2.7206232055691486, 15, 1.544453309907916, 488, 474]"
662,1.436619286,"[2.4985653372746173, 10, 1.6751568280031344, 453, 474]"
282,1.438482596,"[2.4676029151037913, 13, 1.6337750615535935, 499, 498]"
262,1.438634778,"[2.2579968793951304, 12, 2.0465055332307953, 454, 465]"
160,1.441671556,"[2.5291913325578035, 10, 1.5851988755577193, 463, 474]"
139,1.443081152,"[2.395838985415518, 11, 1.9413117676845593, 482, 454]"
601,1.443091169,"[2.4693620995005547, 13, 2.0274657083585828, 482, 466]"
685,1.443276573,"[2.3711021437846127, 11, 2.4200353706259543, 468, 494]"
470,1.443902593,"[2.6331669201286547, 13, 1.5128216594806705, 482, 474]"
247,1.446150857,"[2.491974916619201, 10, 1.9373673631145398, 486, 480]"
796,1.455074333,"[2.1118518931205563, 14, 2.3107520115370006, 470, 461]"
461,1.455359328,"[2.738804360446927, 10, 1.5834803328303377, 477, 461]"
386,1.456508758,"[2.741194777639876, 13, 1.7416009678437354, 486, 455]"
703,1.457135445,"[2.381201685881754, 12, 2.032253079496003, 488, 496]"
48,1.458059367,"[2.8588679140746613, 12, 2.1099635359910867, 490, 473]"
650,1.459300034,"[2.438520239172952, 13, 1.7582712274778498, 465, 476]"
404,1.460518146,"[2.1990262791739554, 13, 1.6118570171684352, 456, 458]"
491,1.46438959,"[2.5228423724472053, 10, 2.1708268117213736, 481, 464]"
444,1.468262506,"[2.8778150055951754, 13, 1.5277665210004268, 466, 482]"
19,1.470334908,"[2.477695251345508, 14, 1.6225351857725947, 496, 463]"
389,1.477568704,"[2.6317610898175654, 11, 1.5038219718886061, 469, 473]"
701,1.480272181,"[2.6698929538974028, 13, 1.6424153770768488, 483, 489]"
730,1.481599591,"[2.174787700053158, 13, 1.7674000086970876, 482, 456]"
56,1.490912432,"[2.572915982093201, 14, 1.788908967737421, 477, 478]"
577,1.495774438,"[2.0047714945789505, 10, 2.427256177962863, 488, 455]"
666,1.496522601,"[2.000479089675268, 13, 2.12320352363944, 464, 479]"
33,1.498828213,"[2.509972400227235, 11, 2.004864849072014, 497, 457]"
335,1.500649091,"[2.560740285680726, 12, 2.469255287185314, 487, 487]"
230,1.501467047,"[2.555239827099951, 13, 2.048485882057353, 450, 477]"
252,1.502196438,"[2.5407353465970557, 12, 1.8470269283818967, 495, 493]"
104,1.512441745,"[2.0825255782013636, 13, 1.6554354236371844, 459, 475]"
557,1.519051916,"[2.264980448764789, 12, 1.6052537222409413, 495, 484]"
263,1.51911465,"[2.384163399253298, 14, 2.156649939854746, 465, 487]"
145,1.524799707,"[2.3563388481227125, 12, 2.060558132431833, 494, 482]"
409,1.525082293,"[2.006046355418198, 11, 2.3029091718921246, 454, 463]"
80,1.526481158,"[2.2120793089969553, 14, 1.5281854647503779, 453, 469]"
525,1.531418151,"[2.666750457868488, 11, 1.5788241346414178, 451, 455]"
660,1.533801083,"[2.1032092674215184, 13, 1.97094743839568, 456, 455]"
566,1.534876957,"[2.314842820346363, 13, 1.5295721808920546, 453, 487]"
598,1.536209608,"[2.0220957180593278, 10, 1.9624369967772757, 467, 478]"
448,1.54578516,"[2.610374446759756, 13, 2.1353304356871874, 483, 491]"
712,1.546731694,"[2.647104782643924, 12, 1.6811166859601416, 458, 487]"
244,1.547588748,"[2.5707913891074705, 10, 1.5006398376475674, 472, 483]"
254,1.548199305,"[2.1425156601894724, 13, 2.050119672421713, 478, 456]"
58,1.549812318,"[2.866803069270135, 14, 1.892888059030952, 477, 455]"
17,1.550389533,"[2.034150405639031, 11, 1.948483214672352, 474, 479]"
315,1.551424037,"[2.584974009518585, 11, 2.455297016282166, 480, 463]"
707,1.553286867,"[2.3524211195603466, 12, 1.5431285289588348, 497, 494]"
633,1.553298023,"[2.7647833524809244, 14, 1.9899538771117071, 485, 495]"
515,1.553565416,"[2.8872135555393976, 12, 1.5705186089707286, 476, 465]"
175,1.553810813,"[2.195579888999689, 11, 1.5889868308668322, 464, 457]"
360,1.55455181,"[2.329818477086956, 12, 1.8458029466828672, 481, 489]"
454,1.556114395,"[2.405414072379367, 11, 2.2102421087824458, 491, 488]"
733,1.559825768,"[2.032475801727616, 12, 1.6943584707064314, 457, 477]"
197,1.560297082,"[2.5303713330302164, 11, 2.2961836615819493, 488, 475]"
44,1.561727081,"[2.943520332441343, 14, 1.7319632597044567, 463, 494]"
267,1.563722921,"[2.3423617324079054, 15, 1.7239707194635816, 497, 452]"
