,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
734,1.441185963,"[2.062698605590847, 13, 2.308829592068505, 479, 467]"
140,1.442723564,"[2.3200609425464456, 13, 1.8154419775237103, 473, 458]"
203,1.442918648,"[2.954414847476375, 14, 1.6892536528651905, 464, 493]"
786,1.443639457,"[2.239548645451333, 10, 2.1729336550869105, 476, 466]"
519,1.444306824,"[2.2980981386756993, 13, 1.684207481104015, 476, 488]"
34,1.448160799,"[2.3762097950481285, 15, 1.8426271641725251, 470, 475]"
722,1.449066534,"[2.737831640190604, 11, 1.59269225652983, 450, 460]"
16,1.45526684,"[2.3509723606133193, 11, 2.049258860488359, 486, 468]"
439,1.462333492,"[2.2365152351238686, 11, 2.270032618549843, 486, 498]"
767,1.462499537,"[2.8109317189608998, 11, 1.50893015038511, 468, 454]"
781,1.464340771,"[2.550801223564479, 12, 1.7332864815248876, 453, 482]"
352,1.465967204,"[2.454756196499199, 12, 2.281056063392205, 450, 471]"
138,1.469000785,"[2.944966655849115, 10, 1.8856798895254492, 471, 485]"
175,1.470988632,"[2.3422375423263184, 12, 2.2312333152117594, 460, 497]"
356,1.471166345,"[2.2646096831999656, 12, 1.6231182182300625, 476, 458]"
15,1.476359433,"[2.4864764309616483, 11, 1.6675142828281184, 477, 492]"
642,1.48224812,"[2.5707129768775645, 12, 1.8320100143863565, 465, 496]"
750,1.482721079,"[2.9495928589814815, 15, 1.5437775019035873, 451, 498]"
636,1.487597552,"[2.5251028143706753, 12, 2.2908556057507172, 467, 462]"
95,1.487944372,"[2.6567129959494604, 14, 1.7932191002654736, 464, 486]"
543,1.488714994,"[2.8598576583222486, 10, 1.7777326335352612, 468, 498]"
267,1.491735677,"[2.8445218092871105, 13, 2.482412141053372, 481, 457]"
718,1.493489583,"[2.6418792593987113, 15, 1.738625454962599, 487, 450]"
742,1.493930402,"[2.705636067014675, 11, 2.1990174108830502, 491, 454]"
606,1.497410771,"[2.6244502793506115, 12, 1.7858604952151025, 450, 490]"
461,1.497857685,"[2.034961218101373, 12, 1.684919237956941, 474, 498]"
223,1.500798562,"[2.2774029276779197, 11, 1.545062266375731, 488, 462]"
678,1.510717917,"[2.1112571067973196, 15, 2.1134392022794306, 487, 495]"
587,1.51321372,"[2.483721180211296, 12, 1.534139874867945, 473, 487]"
776,1.515481691,"[2.461296434485304, 12, 1.9324089518545753, 496, 475]"
310,1.51777424,"[2.2143833940167075, 13, 1.705939973478977, 471, 455]"
429,1.51821225,"[2.7973103219591087, 11, 1.7310412627676588, 483, 479]"
757,1.519066213,"[2.2973304996449007, 13, 1.7178371105860728, 472, 460]"
455,1.519584261,"[2.75682879705899, 11, 1.6111636953776938, 462, 482]"
49,1.522196813,"[2.357463518691629, 14, 2.330846373269062, 472, 467]"
93,1.532693917,"[2.355273272246857, 11, 1.585046971847953, 465, 458]"
336,1.533673721,"[2.1145733307214574, 13, 1.896535151666933, 481, 478]"
433,1.538846147,"[2.3773645004632264, 12, 2.1113690436666976, 451, 465]"
463,1.541505576,"[2.4090737751272115, 13, 2.120398942513325, 462, 476]"
122,1.54336637,"[2.184726322639037, 11, 1.9330589093124222, 466, 491]"
222,1.548747567,"[2.3277074516408858, 14, 2.003090592123481, 457, 451]"
507,1.550739963,"[2.0655048425176346, 14, 2.160265424820428, 496, 495]"
637,1.552891716,"[2.852792860356905, 11, 1.5620151216146125, 498, 463]"
109,1.556377118,"[2.6769006242980877, 12, 2.230470693933993, 461, 487]"
56,1.556457533,"[2.6878735502842526, 11, 2.0624999307687166, 461, 493]"
446,1.563011842,"[2.6684252475302257, 14, 1.5920647883211243, 451, 484]"
593,1.565331967,"[2.1085967819940317, 15, 2.1306338082772176, 451, 465]"
597,1.567722983,"[2.3661443598885703, 10, 2.122371062595336, 452, 463]"
130,1.568361654,"[2.522148322333735, 10, 1.9551961531265527, 495, 494]"
726,1.570277017,"[2.3718735107523043, 10, 1.5501686246355375, 471, 454]"
373,1.572471768,"[2.4471044928651993, 12, 1.5922591876750831, 454, 482]"
745,1.572955121,"[2.592206585723531, 12, 1.8746226610499057, 479, 460]"
377,1.573260455,"[2.9732748875192767, 14, 1.6119784104668973, 475, 488]"
556,1.574234203,"[2.2164377150504566, 12, 2.3821968068144015, 453, 488]"
608,1.575238817,"[2.3675315837124957, 14, 1.6423218865398297, 451, 494]"
688,1.576953169,"[2.803729900976459, 14, 1.5055375887630011, 458, 474]"
714,1.577058957,"[2.826192863774465, 14, 1.5089407118317248, 468, 484]"
563,1.578257255,"[2.292191216034493, 12, 2.1073598018988844, 477, 469]"
63,1.579141645,"[2.106524285868987, 13, 1.6639609121756036, 485, 495]"
241,1.582645215,"[2.749906394378234, 10, 2.154713531783048, 456, 471]"
585,1.584137361,"[2.284857125474881, 12, 1.7393781368983552, 494, 466]"
449,1.58597119,"[2.8951525924760366, 13, 2.1909715984306866, 461, 477]"
544,1.587483857,"[2.276707399306846, 12, 1.756473132874503, 470, 451]"
713,1.595719806,"[2.898123028951359, 10, 1.680569978671765, 465, 477]"
548,1.5972077,"[2.24158649621219, 10, 2.0821017574108334, 482, 499]"
685,1.597553066,"[2.0534082389802095, 10, 1.8906508207773085, 472, 465]"
325,1.597832734,"[2.601444414000337, 11, 1.8484410996629035, 480, 474]"
221,1.599014885,"[2.820150231056095, 12, 1.741941618133485, 493, 482]"
607,1.600024647,"[2.691961913745517, 14, 2.296568224220528, 489, 496]"
716,1.602590876,"[2.2978802736520882, 12, 1.818302942528642, 457, 499]"
481,1.60343927,"[2.6663848366340357, 11, 1.6997467316506005, 457, 489]"
233,1.614437249,"[2.915734768506436, 12, 2.2642846454947065, 472, 457]"
19,1.616745566,"[2.042465880835041, 10, 2.3083227366794534, 463, 469]"
425,1.622981638,"[2.4945191825825397, 10, 1.6329019341406703, 457, 489]"
341,1.627995097,"[2.750294491581405, 11, 1.726700191722334, 478, 494]"
215,1.628872038,"[2.194466156109494, 12, 1.8598812809351328, 476, 473]"
